flickr_id,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
3339962845,4.6400000000,960,540,yuv420p,29.97002997003,240,8,704684
8171831850,4.4440298510,960,540,yuv420p,29.97002997003,240,8,1476951
6076608135,4.4000000000,960,540,yuv420p,29.97002997003,240,8,1638438
8751538577,4.4000000000,960,540,yuv420p,23.976,192,8,2429441
7518773518,4.3200000000,960,540,yuv420p,23.976023976024,192,8,1810853
8657921837,4.3000000000,960,540,yuv420p,24,192,8,1177582
8758952624,4.3000000000,960,540,yuv420p,29.97,240,8,1128286
9571377943,4.2800000000,960,540,yuv420p,23.976,192,8,1881877
8562619627,4.2600000000,960,540,yuv420p,25,200,8,825895
12262452854,4.2400000000,960,540,yuv420p,24,192,8,931300
12379836133,4.2400000000,960,540,yuv420p,25,200,8,1121599
12355531285,4.2200000000,960,540,yuv420p,29.97,240,8,944696
6947112934,4.1800000000,960,540,yuv420p,25,200,8,367755
4675931801,4.1600000000,960,540,yuv420p,29.97002997003,240,8,3026979
6787309364,4.1600000000,960,540,yuv420p,29.97002997003,240,8,1118620
5391431291,4.1518518520,960,540,yuv420p,23.976023976024,192,8,789981
10244479353,4.1400000000,960,540,yuv420p,29.97,240,8,1383754
10283826203,4.1400000000,960,540,yuv420p,29.97,240,8,752153
10595581344,4.1400000000,960,540,yuv420p,29.97,240,8,1130126
4779773181,4.1400000000,960,540,yuv420p,25,200,8,285499
8286421427,4.1400000000,960,540,yuv420p,25,200,8,886728
11618284403,4.1200000000,960,540,yuv420p,29.97002997003,240,8,2649204
5893119747,4.1200000000,960,540,yuv420p,25,200,8,2229893
6913535960,4.1062992130,960,540,yuv420p,25,200,8,1798056
13288073854,4.1000000000,960,540,yuv420p,25,200,8,711872
5355837503,4.1000000000,960,540,yuv420p,23.976023976024,192,8,2408894
11540616946,4.0800000000,960,540,yuv420p,29.97,240,8,1494137
3407992311,4.0800000000,960,540,yuv420p,29.97002997003,240,8,2044427
9633321480,4.0800000000,960,540,yuv420p,24,192,8,931748
10008004183,4.0600000000,960,540,yuv420p,25,200,8,2057360
7177696763,4.0600000000,960,540,yuv420p,24,192,8,877865
5477809421,4.0400000000,960,540,yuv420p,29.97002997003,240,8,3801792
5489207006,4.0400000000,960,540,yuv420p,29.97002997003,240,8,1186736
6900620920,4.0400000000,960,540,yuv420p,24,192,8,900082
9060241382,4.0400000000,960,540,yuv420p,25,200,8,2157760
9480678073,4.0400000000,960,540,yuv420p,29.97,240,8,1748779
9513903384,4.0400000000,960,540,yuv420p,29.97,240,8,3865713
9917916796,4.0400000000,960,540,yuv420p,29.97,240,8,1741099
12378508014,4.0355731230,960,540,yuv420p,25,200,8,877517
3369925072,4.0200000000,960,540,yuv420p,29.97002997003,240,8,1093971
3863745355,4.0200000000,960,540,yuv420p,23.976023976024,192,8,952948
3963620197,4.0200000000,960,540,yuv420p,23.976023976024,192,8,1285852
4329911079,4.0200000000,960,540,yuv420p,29.97002997003,240,8,1189928
6137257339,4.0200000000,960,540,yuv420p,29.97002997003,240,8,615853
8667534666,4.0200000000,960,540,yuv420p,29.97002997003,240,8,5856332
8701032421,4.0200000000,960,540,yuv420p,23.976023976024,192,8,1038639
9709640314,4.0200000000,960,540,yuv420p,29.97,240,8,1019154
12123666684,4.0000000000,960,540,yuv420p,29.97002997003,240,8,2229589
6914710581,4.0000000000,960,540,yuv420p,24,192,8,855821
4549036485,3.9924812030,960,540,yuv420p,29.97002997003,240,8,575327
4273096444,3.9800000000,960,540,yuv420p,29.97002997003,240,8,772861
